"","Year","CO2"
"1",1958,315.315
"2",1959,316.035
"3",1960,316.705
"4",1961,317.355
"5",1962,318.245
"6",1963,318.905
"7",1964,318.71
"8",1965,319.94
"9",1966,321.315
"10",1967,322.415
"11",1968,323.02
"12",1969,324.265
"13",1970,325.555
"14",1971,326.425
"15",1972,327.59
"16",1973,329.435
"17",1974,330.14
"18",1975,331.08
"19",1976,332.16
"20",1977,333.635
"21",1978,335.18
"22",1979,336.745
"23",1980,338.285
"24",1981,340.045
"25",1982,341.18
"26",1983,342.755
"27",1984,344.36
"28",1985,345.775
"29",1986,346.925
"30",1987,348.72
"31",1988,351.535
"32",1989,352.915
"33",1990,354.455
"34",1991,355.37
"35",1992,356.355
"36",1993,356.985
"37",1994,358.975
"38",1995,360.85
"39",1996,362.785
"40",1997,364.135
"41",1998,366.56
"42",1999,368.51
"43",2000,369.49
"44",2001,371.37
"45",2002,373.3
"46",2003,375.655
"47",2004,377.405
"48",2005,379.785
"49",2006,381.84
"50",2007,383.66
"51",2008,385.47
"52",2009,387.305
"53",2010,389.945
"54",2011,391.86
"55",2012,393.84
"56",2013,396.835
"57",2014,398.445
"58",2015,400.91
"59",2016,404.33
"60",2017,406.695
"61",2018,408.62
"62",2019,411.755
"63",2020,414.3
